species,n_full,n_full_10km,n_full_100km,n_hist,n_hist_10km,n_hist_10km_valid,n_hist_100km,n_hist_100km_valid,n_chelsa,n_chelsa_10km,n_chelsa_100km,n_chelsa_100km_valid
L_complexa,84,61,31,44,34,10,23,21,55,40,24,31
L_cruzi,74,55,29,15,8,7,7,8,46,31,19,27
L_flaviscutellata,520,391,163,225,192,33,99,126,328,262,123,205
L_intermedia,298,194,50,143,108,35,37,106,198,120,39,159
L_longipalpis,803,555,185,343,298,45,117,226,443,303,132,311
L_migonei,758,570,164,347,296,51,116,231,398,278,114,284
L_neivai,283,199,60,97,82,15,32,65,238,171,53,185
L_umbratilis,227,176,81,119,98,21,57,62,137,110,58,79
L_wellcomei,52,36,16,26,18,8,10,16,34,23,12,22
L_whitmani,904,699,185,341,290,51,117,224,482,376,146,336
