species,lon,lat
L_flaviscutellata,-55.808333,4.591667
L_flaviscutellata,-54.408333,4.291667
L_umbratilis,-54.408333,4.291667
L_flaviscutellata,-52.651438,-0.780765
L_longipalpis,-43.520833,-22.906389
L_migonei,-43.520833,-22.906389
L_whitmani,-43.520833,-22.906389
L_flaviscutellata,-72.685928,-7.645793
L_flaviscutellata,-67.772621,-9.959261
L_umbratilis,-52.651438,-0.780765
L_whitmani,-52.651438,-0.780765
L_flaviscutellata,-48.38609,-1.440542
L_flaviscutellata,-55.310444,5.439267
L_flaviscutellata,-61.945095,-10.882051
L_flaviscutellata,-59.607119,-2.627897
L_umbratilis,-70.339389,-8.142304
L_whitmani,-70.339389,-8.142304
L_umbratilis,-65.323952,-10.773884
L_migonei,-65.323952,-10.773884
L_whitmani,-65.323952,-10.773884
L_umbratilis,-65.26512,-10.72016
L_whitmani,-65.26512,-10.72016
L_umbratilis,-63.033269,-9.908463
L_migonei,-63.033269,-9.908463
L_whitmani,-63.033269,-9.908463
L_umbratilis,-61.945095,-10.882051
L_whitmani,-61.945095,-10.882051
L_umbratilis,-61.853872,-10.878415
L_whitmani,-61.853872,-10.878415
L_umbratilis,-60.023335,-3.134691
L_flaviscutellata,-60.023335,-3.134691
L_migonei,-40.065306,-19.398106
L_umbratilis,-60.013328,-3.072794
L_complexa,-46.99996,-3.234877
L_wellcomei,-46.99996,-3.234877
L_whitmani,-67.810529,-9.978299
L_migonei,-60.013328,-3.072794
L_whitmani,-60.013328,-3.072794
L_flaviscutellata,-48.668848,-0.89225
L_flaviscutellata,-52.502072,4.894779
L_umbratilis,-55.813383,5.213555
L_flaviscutellata,-55.813383,5.213555
L_umbratilis,-55.3577,5.38862
L_longipalpis,-48.668848,-0.89225
L_longipalpis,-48.525,-0.775
L_wellcomei,-38.914831,-4.258042
L_complexa,-50.477662,-5.87636
L_complexa,-50.260561,-6.049934
L_wellcomei,-50.260561,-6.049934
L_complexa,-50.243928,-6.069698
L_wellcomei,-50.243928,-6.069698
L_complexa,-50.234426,-6.081619
L_wellcomei,-50.234426,-6.081619
L_complexa,-49.979091,-6.100499
L_wellcomei,-49.979091,-6.100499
L_complexa,-49.903299,-6.053229
L_longipalpis,-67.7476,-16.218
L_longipalpis,-67.73698,-16.1654
L_longipalpis,-67.71814,-16.15879
L_flaviscutellata,-69.341667,-12.841667
L_flaviscutellata,-55.493784,5.377307
L_umbratilis,-55.493784,5.377307
L_umbratilis,-57.045202,-1.079744
L_umbratilis,-56.39616,-1.480915
L_umbratilis,-56.37942,-1.46694
L_umbratilis,-55.8628,-1.763754
L_complexa,-55.934451,-4.597751
L_wellcomei,-55.934451,-4.597751
L_migonei,-52.651438,-0.780765
L_longipalpis,-44.22915,-2.57436
L_intermedia,-43.43078,-22.9262
L_flaviscutellata,-57.045202,-1.079744
L_migonei,-57.045202,-1.079744
L_flaviscutellata,-56.39616,-1.480915
L_migonei,-56.39616,-1.480915
L_flaviscutellata,-48.555712,-6.398958
L_umbratilis,-48.555712,-6.398958
L_whitmani,-48.555712,-6.398958
L_migonei,-47.553137,-24.706954
L_migonei,-46.796351,-21.972011
L_longipalpis,-42.80527,-5.086342
L_whitmani,-42.80527,-5.086342
L_flaviscutellata,-56.008333,-1.341667
L_umbratilis,-56.008333,-1.341667
L_flaviscutellata,-50.308333,-6.008333
L_umbratilis,-50.308333,-6.008333
L_whitmani,-50.308333,-6.008333
