species,lon,lat
L_migonei,-65.09603,-28.402567
L_neivai,-57.3384,-27.42803
L_neivai,-56.67912,-27.58623
L_migonei,-56.38178,-27.61346
L_neivai,-56.38178,-27.61346
L_neivai,-56.9067,-27.633
L_migonei,-61.4658,-24.0982
L_migonei,-64.770051,-23.774562
L_migonei,-64.595378,-24.08636
L_migonei,-64.36253,-23.55801
L_migonei,-64.83666,-24.22404
L_migonei,-64.79178,-23.8324
L_neivai,-54.049846,-25.675358
L_migonei,-53.64748,-26.263
L_longipalpis,-55.803056,-27.461667
L_neivai,-55.803056,-27.461667
L_whitmani,-55.803056,-27.461667
L_neivai,-55.5085,-27.12286
L_whitmani,-55.5085,-27.12286
L_migonei,-54.6223,-26.0239
L_neivai,-54.6223,-26.0239
L_whitmani,-54.6223,-26.0239
L_neivai,-55.93059,-27.40543
L_neivai,-54.7764,-26.5705
L_whitmani,-54.649082,-25.666995
L_neivai,-55.88521,-27.41961
L_migonei,-63.84787,-22.63378
L_neivai,-64.533,-23.1
L_migonei,-64.094,-23.2152
L_neivai,-64.094,-23.2152
L_migonei,-63.8049,-22.5989
L_neivai,-63.8049,-22.5989
L_migonei,-64.3093,-23.1574
L_migonei,-64.2254,-23.3279
L_neivai,-64.2254,-23.3279
L_migonei,-64.967651,-25.798649
L_migonei,-64.24385,-23.25517
L_migonei,-63.58017,-22.5032
L_migonei,-64.32222,-26.0875
L_migonei,-64.261111,-27.734028
L_migonei,-64.259111,-27.732972
L_migonei,-64.5025,-26.286944
L_migonei,-65.61457,-27.4316
L_migonei,-65.50989,-27.1708
L_migonei,-64.74194,-26.49942
L_migonei,-65.5926,-27.3458
L_migonei,-65.7095,-26.85195
L_neivai,-65.203,-26.831
L_migonei,-65.7488,-27.3772
L_migonei,-65.34434,-26.80396
L_migonei,-65.41666,-26.88332
L_migonei,-65.1652,-26.8343
L_migonei,-65.26702,-26.7324
L_migonei,-65.27911,-26.59395
L_migonei,-65.2175,-26.8082
L_migonei,-65.60406,-27.1896
L_migonei,-65.3158,-26.816770000000002
L_neivai,-65.1987,-26.624
L_longipalpis,-67.55629,-16.37418
L_longipalpis,-67.7476,-16.218
L_umbratilis,-67.6046,-14.7122
L_longipalpis,-67.71814,-16.15879
L_longipalpis,-67.73698,-16.1654
L_flaviscutellata,-67.716556,-14.537868
L_neivai,-64.64167,-22.191770000000002
L_flaviscutellata,-72.685928,-7.645793
L_migonei,-72.685928,-7.645793
L_umbratilis,-72.685928,-7.645793
L_whitmani,-72.685928,-7.645793
L_umbratilis,-70.339389,-8.142304
L_whitmani,-70.339389,-8.142304
L_whitmani,-67.766,-10.0124
L_whitmani,-67.83011,-9.97884
L_whitmani,-67.810529,-9.978299
L_flaviscutellata,-67.772621,-9.959261
L_migonei,-67.810529,-9.978299
L_intermedia,-36.7666,-9.61666
L_longipalpis,-36.7666,-9.61666
L_migonei,-36.7666,-9.61666
L_longipalpis,-36.758333,-9.387405
L_whitmani,-35.223015,-9.015456
L_longipalpis,-36.630984,-9.406159
L_migonei,-36.630984,-9.406159
L_intermedia,-36.630984,-9.406159
L_whitmani,-35.297015,-9.156086
L_umbratilis,-52.539021,-0.855665
L_flaviscutellata,-51.175,0.091667
L_migonei,-51.057405,0.038951
L_flaviscutellata,-51.962806,0.761788
L_flaviscutellata,-51.946594,0.776883
L_flaviscutellata,-51.889551,0.616286
L_flaviscutellata,-51.530567,0.676617
L_flaviscutellata,-51.459702,0.697452
L_migonei,-51.414449,0.712555
L_umbratilis,-51.414449,0.712555
L_whitmani,-51.414449,0.712555
L_umbratilis,-51.998507,0.943141
L_whitmani,-51.998507,0.943141
L_umbratilis,-52.003538,0.897841
L_flaviscutellata,-52.004963,0.903507
L_umbratilis,-52.004963,0.903507
L_flaviscutellata,-52.003538,0.897841
L_whitmani,-52.003538,0.897841
L_flaviscutellata,-59.885666,-7.19787
L_migonei,-59.885666,-7.19787
L_flaviscutellata,-71.62364,-4.536014
L_flaviscutellata,-62.92567,-0.972801
L_umbratilis,-62.92567,-0.972801
L_flaviscutellata,-61.085875,-4.480924
L_umbratilis,-61.085875,-4.480924
L_flaviscutellata,-61.314385,-4.751207
L_umbratilis,-61.314385,-4.751207
L_flaviscutellata,-60.251772,-3.62967
L_umbratilis,-60.251772,-3.62967
L_umbratilis,-60.53196,-3.9667
L_flaviscutellata,-59.901109,-3.404004
L_umbratilis,-59.901109,-3.404004
L_flaviscutellata,-59.877817,-3.317126
L_umbratilis,-59.877817,-3.317126
L_flaviscutellata,-65.260556,-4.826111
L_flaviscutellata,-65.199472,-4.89825
L_umbratilis,-65.260556,-4.826111
L_umbratilis,-65.199472,-4.89825
L_flaviscutellata,-63.109326,-7.008107
L_umbratilis,-63.109326,-7.008107
L_flaviscutellata,-62.491983,-7.686645
L_migonei,-71.694418,-7.05098
L_flaviscutellata,-58.7244,-3.0496
L_migonei,-58.7244,-3.0496
L_umbratilis,-58.7244,-3.0496
L_wellcomei,-58.576653,-3.036379
L_flaviscutellata,-58.440175,-3.140379
L_flaviscutellata,-60.620589,-3.298278
L_umbratilis,-60.620589,-3.298278
L_whitmani,-60.620589,-3.298278
L_flaviscutellata,-60.034219,-3.035797
L_umbratilis,-60.034219,-3.035797
L_flaviscutellata,-59.934392,-3.001542
L_migonei,-59.934392,-3.001542
L_umbratilis,-59.934392,-3.001542
L_flaviscutellata,-60.013328,-3.072794
L_umbratilis,-60.013328,-3.072794
L_umbratilis,-60.023335,-3.134691
L_flaviscutellata,-60.023335,-3.134691
L_flaviscutellata,-59.994653,-2.8791350000000002
L_flaviscutellata,-60.054592,-2.597012
L_migonei,-60.054592,-2.597012
L_umbratilis,-60.054592,-2.597012
L_umbratilis,-59.994653,-2.8791350000000002
L_migonei,-60.013328,-3.072794
L_whitmani,-60.013328,-3.072794
L_migonei,-60.023335,-3.134691
L_flaviscutellata,-59.940972,-3.004115
L_umbratilis,-59.940972,-3.004115
L_flaviscutellata,-60.377046,-5.122669
L_umbratilis,-59.490469,-1.926005
L_flaviscutellata,-60.138796,-0.793884
L_migonei,-60.138796,-0.793884
L_umbratilis,-60.138796,-0.793884
L_flaviscutellata,-59.490469,-1.926005
L_flaviscutellata,-59.607119,-2.627897
L_flaviscutellata,-67.092442,-0.133126
L_flaviscutellata,-66.542817,-0.341411
L_umbratilis,-66.542817,-0.341411
L_flaviscutellata,-66.875946,-0.110444
L_flaviscutellata,-62.131212,-5.50866
L_umbratilis,-62.131212,-5.50866
L_flaviscutellata,-62.684787,-6.218103
L_umbratilis,-62.684787,-6.218103
L_flaviscutellata,-64.358333,-3.678333
L_umbratilis,-64.358333,-3.678333
L_flaviscutellata,-64.70067,-3.365092
L_longipalpis,-42.059128,-11.808828
L_longipalpis,-45.004168,-12.144925
L_intermedia,-45.004168,-12.144925
L_flaviscutellata,-39.70307,-13.511388
L_migonei,-39.70307,-13.511388
L_umbratilis,-39.70307,-13.511388
L_whitmani,-39.70307,-13.511388
L_longipalpis,-38.960033,-12.229284
L_migonei,-39.486324,-13.743781
L_longipalpis,-42.011248,-11.637526
L_migonei,-39.043184,-14.79332
L_whitmani,-39.043184,-14.79332
L_intermedia,-39.043184,-14.79332
L_migonei,-39.273109,-14.78904
L_longipalpis,-40.963419,-12.982034
L_migonei,-39.528541,-15.972167
L_longipalpis,-40.5183,-11.1805
L_longipalpis,-40.513018,-11.185062
L_longipalpis,-40.081667,-13.863889
L_longipalpis,-40.088607,-13.855664
L_whitmani,-40.088607,-13.855664
L_migonei,-39.889632,-14.017429
L_whitmani,-39.889632,-14.017429
L_intermedia,-39.954167,-13.964167
L_migonei,-39.954167,-13.964167
L_whitmani,-39.954167,-13.964167
L_whitmani,-40.365127,-14.522325
L_whitmani,-39.42406,-13.470842
L_migonei,-39.42406,-13.470842
L_migonei,-38.488061,-13.014772
L_whitmani,-38.488061,-13.014772
L_intermedia,-38.7137,-12.54768
L_flaviscutellata,-39.662033,-13.268089
L_migonei,-39.662033,-13.268089
L_whitmani,-39.662033,-13.268089
L_migonei,-39.074713,-15.294208
L_whitmani,-39.75,-13.53333
L_whitmani,-39.479671,-13.688588
L_longipalpis,-40.118241,-2.885311
L_longipalpis,-40.137446,-7.206184
L_longipalpis,-38.976991,-6.940392
L_longipalpis,-39.302316,-7.3071719999999996
L_longipalpis,-38.88416,-4.32254
L_migonei,-38.88416,-4.32254
L_whitmani,-38.88416,-4.32254
L_wellcomei,-38.88416,-4.32254
L_longipalpis,-38.880021,-4.331205
L_migonei,-38.880021,-4.331205
L_whitmani,-38.880021,-4.331205
L_longipalpis,-38.123273,-4.174763
L_longipalpis,-38.985514,-7.491638
L_longipalpis,-40.847528,-2.900967
L_whitmani,-40.847528,-2.900967
L_longipalpis,-39.310343,-4.355344
L_longipalpis,-38.901829,-4.459897
L_longipalpis,-40.473845,-3.951612
L_longipalpis,-39.284372,-7.041528
L_longipalpis,-38.664018,-3.736487
L_longipalpis,-39.059743,-6.604961
L_longipalpis,-41.244596,-3.038901
L_longipalpis,-40.656951,-3.549488
L_longipalpis,-40.6684,-5.176951
L_longipalpis,-39.40839,-7.231753
L_longipalpis,-38.589928,-3.723805
L_migonei,-38.589928,-3.723805
L_whitmani,-38.589928,-3.723805
L_longipalpis,-40.829939,-3.118952
L_wellcomei,-38.914831,-4.258042
L_longipalpis,-38.863085,-6.403031
L_longipalpis,-39.299906,-6.360555
L_longipalpis,-40.309348,-5.398028
L_longipalpis,-40.718726,-4.313432
L_whitmani,-40.718726,-4.313432
L_longipalpis,-40.715697,-4.543785
L_longipalpis,-39.583533,-3.685673
L_longipalpis,-39.583482,-3.499436
L_longipalpis,-37.782391,-4.839555
L_longipalpis,-39.284164,-7.585536
L_longipalpis,-39.316993,-7.210766
L_longipalpis,-38.099095,-5.150239
L_longipalpis,-38.685851,-3.891869
L_migonei,-38.685851,-3.891869
L_whitmani,-38.685851,-3.891869
L_longipalpis,-40.342135,-3.523871
L_whitmani,-40.342135,-3.523871
L_longipalpis,-38.772795,-7.387398
L_longipalpis,-38.943157,-7.310428
L_longipalpis,-39.145198,-7.243232
L_longipalpis,-40.070067,-4.783091
L_longipalpis,-38.364907,-5.096952
L_longipalpis,-40.74528,-3.90603
L_whitmani,-40.74528,-3.90603
L_longipalpis,-40.565303,-4.706808
L_longipalpis,-38.467022,-4.170541
L_longipalpis,-38.618299,-3.98612
L_migonei,-38.618299,-3.98612
L_migonei,-38.925889,-4.224765
L_whitmani,-38.925889,-4.224765
L_longipalpis,-39.267009,-3.796267
L_longipalpis,-39.011745,-4.9637
L_longipalpis,-39.294354,-5.198405
L_longipalpis,-38.729571,-4.222958
L_longipalpis,-37.975431,-4.939738
L_longipalpis,-39.904581,-6.536433
L_longipalpis,-40.153508,-4.333271
L_longipalpis,-40.209463,-3.459775
L_longipalpis,-39.241606,-3.673009
L_longipalpis,-39.375325,-5.589344
L_longipalpis,-40.348668,-3.688038
L_whitmani,-40.348668,-3.688038
L_longipalpis,-40.319069,-4.833929
L_longipalpis,-40.292625,-6.002999
L_longipalpis,-40.991706,-3.722674
L_migonei,-40.991706,-3.722674
L_whitmani,-40.991706,-3.722674
L_longipalpis,-40.898914,-3.840107
L_whitmani,-40.898914,-3.840107
L_longipalpis,-40.907144,-3.848491
L_longipalpis,-39.508178,-3.623017
L_migonei,-39.508178,-3.623017
L_longipalpis,-41.091629,-3.566013
L_migonei,-41.091629,-3.566013
L_whitmani,-41.091629,-3.566013
L_flaviscutellata,-47.954979,-15.698025
L_flaviscutellata,-47.887905,-15.794087
L_whitmani,-47.887905,-15.794087
L_intermedia,-41.09166,-20.17496
L_migonei,-41.09166,-20.17496
L_whitmani,-41.09166,-20.17496
L_longipalpis,-40.976456,-18.545546
L_longipalpis,-40.736638,-18.987361
L_migonei,-40.736638,-18.987361
L_intermedia,-40.276223,-19.823278
L_migonei,-40.276223,-19.823278
L_longipalpis,-41.012068,-19.514246
L_migonei,-41.012068,-19.514246
L_whitmani,-41.012068,-19.514246
L_longipalpis,-40.890399,-18.759089
L_intermedia,-40.630318,-19.53627
L_migonei,-40.630318,-19.53627
L_intermedia,-40.659396,-20.364239
L_migonei,-40.659396,-20.364239
L_longipalpis,-40.457766,-19.252807
L_migonei,-40.457766,-19.252807
L_intermedia,-41.71078,-20.91108
L_intermedia,-41.70418,-20.91619
L_intermedia,-41.70069,-20.90583
L_migonei,-41.70418,-20.91619
L_whitmani,-41.71078,-20.91108
L_whitmani,-41.70418,-20.91619
L_whitmani,-41.70069,-20.90583
L_intermedia,-40.495021,-20.665975
L_migonei,-40.495021,-20.665975
L_intermedia,-40.856598,-19.802508
L_longipalpis,-40.856598,-19.802508
L_migonei,-40.856598,-19.802508
L_whitmani,-40.856598,-19.802508
L_longipalpis,-40.879791,-19.872348
L_migonei,-40.879791,-19.872348
L_whitmani,-40.879791,-19.872348
L_migonei,-40.065306,-19.398106
L_intermedia,-40.065306,-19.398106
L_longipalpis,-40.065306,-19.398106
L_intermedia,-41.117737,-18.861179
L_migonei,-41.117737,-18.861179
L_whitmani,-41.117737,-18.861179
L_intermedia,-41.364425,-21.065374
L_migonei,-40.758611,-19.228889
L_whitmani,-40.758611,-19.228889
L_longipalpis,-40.856003,-19.22442
L_migonei,-40.856003,-19.22442
L_intermedia,-40.53321,-20.098891
L_migonei,-40.53321,-20.098891
L_longipalpis,-40.5296,-19.021965
L_migonei,-40.5296,-19.021965
L_intermedia,-41.71834,-20.94002
L_intermedia,-41.71617,-20.95258
L_migonei,-41.71617,-20.95258
L_whitmani,-41.71617,-20.95258
L_longipalpis,-40.643139,-19.725307
L_migonei,-40.643139,-19.725307
L_intermedia,-40.495624,-20.390863
L_migonei,-40.495624,-20.390863
L_whitmani,-40.495624,-20.390863
L_flaviscutellata,-40.495624,-20.390863
L_intermedia,-40.322209,-20.320154
L_whitmani,-48.957218,-16.328826
L_longipalpis,-48.621197,-17.743539
L_whitmani,-47.947703,-18.169573
L_longipalpis,-47.463436,-13.799279
L_whitmani,-47.463436,-13.799279
L_neivai,-48.556102,-18.136906
L_whitmani,-47.335816,-15.540945
L_whitmani,-50.90344,-16.312801
L_whitmani,-49.22087,-18.417682
L_longipalpis,-49.22087,-18.417682
L_neivai,-49.22087,-18.417682
L_longipalpis,-49.179823,-14.008569
L_whitmani,-52.554667,-17.566168
L_longipalpis,-48.285966,-15.164355
L_whitmani,-48.285966,-15.164355
L_cruzi,-50.457641,-16.946697
L_longipalpis,-50.457641,-16.946697
L_whitmani,-49.510117,-15.442467
L_intermedia,-46.25249,-14.803994
L_longipalpis,-46.25249,-14.803994
L_whitmani,-46.25249,-14.803994
L_longipalpis,-43.468735,-4.630779
L_longipalpis,-46.2193,-4.3379
L_migonei,-46.2193,-4.3379
L_umbratilis,-46.2193,-4.3379
L_whitmani,-46.2193,-4.3379
L_whitmani,-46.451495,-4.325948
L_longipalpis,-44.330436,-4.721245
L_whitmani,-44.330436,-4.721245
L_longipalpis,-43.358539,-4.861675
L_whitmani,-43.358539,-4.861675
L_longipalpis,-43.88608,-4.451338
L_whitmani,-43.88608,-4.451338
L_longipalpis,-43.014014,-4.254738
L_whitmani,-43.014014,-4.254738
L_flaviscutellata,-44.867762,-1.825521
L_longipalpis,-44.44001,-5.038448
L_whitmani,-44.44001,-5.038448
L_flaviscutellata,-44.098692,-2.528063
L_longipalpis,-44.098692,-2.528063
L_umbratilis,-44.098692,-2.528063
L_whitmani,-44.098692,-2.528063
L_longipalpis,-44.1043,-2.4469
L_longipalpis,-44.102516,-2.415075
L_flaviscutellata,-44.125,-2.558333
L_longipalpis,-44.057548,-2.555859
L_longipalpis,-44.144503,-2.64667
L_longipalpis,-44.22915,-2.57436
L_longipalpis,-44.249671,-2.566797
L_whitmani,-44.249671,-2.566797
L_longipalpis,-44.297919,-2.531886
L_flaviscutellata,-44.297919,-2.531886
