species,lon,lat
L_neivai,-57.3384,-27.42803
L_neivai,-54.049846,-25.675358
L_neivai,-55.88521,-27.41961
L_neivai,-64.094,-23.2152
L_neivai,-65.1987,-26.624
L_neivai,-64.64167,-22.191770000000002
L_neivai,-48.556102,-18.136906
L_neivai,-45.948918,-21.428178
L_neivai,-45.979045,-20.011892
L_neivai,-45.083769,-21.877666
L_neivai,-44.91522,-20.17213
L_neivai,-46.875419,-17.219742
L_neivai,-46.611413,-20.719212
L_neivai,-44.045884,-19.618396
L_neivai,-46.417789,-18.414742
L_neivai,-47.981,-19.059
L_neivai,-52.225,-23.5583
L_neivai,-53.75727,-27.372167
L_neivai,-48.7333,-26.8333
L_neivai,-52.72761,-26.740056
L_neivai,-48.40676,-23.483987
L_neivai,-47.174376,-22.330076
L_neivai,-48.316236,-22.113167
L_neivai,-48.589601,-24.58446
L_neivai,-47.175726,-24.292006
L_neivai,-47.000968,-23.397523
L_neivai,-51.979797,-21.542851
L_neivai,-45.9096,-23.1343
L_neivai,-52.1839,-22.6216
L_neivai,-54.9043,-24.8264
L_neivai,-56.0503,-25.4869
L_neivai,-54.7183,-26.3576
L_migonei,-65.09603,-28.402567
L_migonei,-61.4658,-24.0982
L_migonei,-64.83666,-24.22404
L_migonei,-54.6223,-26.0239
L_migonei,-63.8049,-22.5989
L_migonei,-64.967651,-25.798649
L_migonei,-64.261111,-27.734028
L_migonei,-65.50989,-27.1708
L_migonei,-72.685928,-7.645793
L_migonei,-67.810529,-9.978299
L_migonei,-36.7666,-9.61666
L_migonei,-51.057405,0.038951
L_migonei,-59.885666,-7.19787
L_migonei,-71.694418,-7.05098
L_migonei,-58.7244,-3.0496
L_migonei,-59.934392,-3.001542
L_migonei,-60.138796,-0.793884
L_migonei,-39.273109,-14.78904
L_migonei,-39.528541,-15.972167
L_migonei,-38.488061,-13.014772
L_migonei,-39.662033,-13.268089
L_migonei,-38.589928,-3.723805
L_migonei,-40.991706,-3.722674
L_migonei,-39.508178,-3.623017
L_migonei,-41.70418,-20.91619
L_migonei,-40.5296,-19.021965
L_migonei,-40.495624,-20.390863
L_migonei,-46.2193,-4.3379
L_migonei,-45.369152,-1.669022
L_migonei,-56.09161,-9.871723
L_migonei,-54.979722,-10.223056
L_migonei,-55.500922,-11.858005
L_migonei,-54.82697,-22.636582
L_migonei,-54.615744,-20.45803
L_migonei,-45.948918,-21.428178
L_migonei,-42.1545,-16.87943
L_migonei,-46.94001,-19.59133
L_migonei,-46.944354,-21.360181
