unique.id,cited.species,gender,considered.species,country,admin2,admin3,locality,col.start.year,col.finish.year,1.year.monthly?,lon_orig,lat_orig,mun_geocod,mun_lon,mun_lat,area.mun.km,lon_dec,lat_dec,coord.prec,loc_type_wieczorek,fonte das coordenadas,ref,year_of_pub,obs,n
3,L. migonei,,L_migonei,Argentina,Catamarca,Tapso,,NA (before 1978),NA (before 1978),0,,,,,,,-65.09603,-28.402567,2,,Google Earth,Martins et al. 1978,1978,,
40,L. intermedia,,L_neivai,Argentina,Corrientes,Ita-Ibaté,,1993,,,,,,,,,-57.3384,-27.42803,3,,,Salomón et al. 2002b,2002,Map with collection sites,
41,L. intermedia,,L_neivai,Argentina,Corrientes,Ituzaingó,,1993,,,,,,,,,-56.67912,-27.58623,3,,,Salomón et al. 2002b,2002,Map with collection sites,
42,L. migonei,,L_migonei,Argentina,Corrientes,Santa Tecla,,1993,,0,,,,,,,-56.38178,-27.61346,3,,,Salomón et al. 2002b,2002,Map with collection sites,
43,L. intermedia,,L_neivai,Argentina,Corrientes,Santa Tecla,,1993,,,,,,,,,-56.38178,-27.61346,3,,,Salomón et al. 2002b,2002,Map with collection sites,
44,L. intermedia,,L_neivai,Argentina,Corrientes,Villa Olivari,,1993,,,,,,,,,-56.9067,-27.633,3,,,Salomón et al. 2002b,2002,Map with collection sites,
45,L. migonei,,L_migonei,Argentina,Formosa,Chiriguanos,,NA (before 1978),NA (before 1978),0,,,,,,,-61.4658,-24.0982,2,,Google Earth,Martins et al. 1978,1978,,
56,L. migonei,,L_migonei,Argentina,Formosa,El Coatí,,NA (before 1978),NA (before 1978),0,,,,,,,NA,NA,NA,,NA,Martins et al. 1978,1978,"Could not find ""El Coatí"" in Formosa, Argentina",
88,L. migonei,,L_migonei,Argentina,Jujuy,Calilegua,,NA (before 1978),NA (before 1978),0,,,,,,,-64.770051,-23.774562,3,,Google Earth,Martins et al. 1978,1978,,
89,L. migonei,,L_migonei,Argentina,Jujuy,El Palmar,,NA (before 1978),NA (before 1978),0,,,,,,,-64.595378,-24.08636,3,,Google Earth,Martins et al. 1978,1978,,
90,L. migonei,,L_migonei,Argentina,Jujuy,El Talar,,NA (before 1978),NA (before 1978),0,,,,,,,-64.36253,-23.55801,3,,Google Earth,Martins et al. 1978,1978,,
