unique.id,cited.species,gender,considered.species,country,admin2,admin3,locality,col.start.year,col.finish.year,1.year.monthly?,lon_orig,lat_orig,mun_geocod,mun_lon,mun_lat,area.mun.km,lon_dec,lat_dec,coord.prec,loc_type_wieczorek,fonte das coordenadas,ref,pub.year,obs,n
6808,L. flaviscutellata,,L_flaviscutellata,Suriname,Sipaliwini,,"Village of Poesoegroenoe, on the Saramacca River",1981,1981,0, 55°48' W,4°35' N,,,,,-55.808333,4.591667,1,coordinates,Cited in ref,Hudson & Young 1985: 418,1985,,
6797,L. flaviscutellata,MF,L_flaviscutellata,Suriname,Sipaliwini,,"Aseli Kamp, a semi-permanent agricultural settlement of seven houses in a forest clearing by the Lawa River (the eastern border of Suriname)",1981,1981,0, 54°24' W,4°17' N,,,,,-54.408333,4.291667,1,coordinates,Cited in ref,Hudson & Young 1985: 418,1985,,
6798,L. umbratilis,MF,L_umbratilis,Suriname,Sipaliwini,,"Aseli Kamp, a semi-permanent agricultural settlement of seven houses in a forest clearing by the Lawa River (the eastern border of Suriname)",1981,1981,0, 54°24' W,4°17' N,,,,,-54.408333,4.291667,1,coordinates,Cited in ref,Hudson & Young 1985: 418,1985,,
3700,L. flaviscutellata,,L_flaviscutellata,Brazil,Pará,Almeirim,"tree 1, site 1 (area 2) VER FOTO",1981,,,,,1500503,-52.576835,-1.527339,72954.798,-52.651438,-0.780765,2,,"Ready et al 1983, Google Earth",Ready et al. 1986: 29,1986,mesmo ponto de Ready et al 1983,
5255,L. longipalpis,,L_longipalpis,Brazil,Rio de Janeiro,Rio de Janeiro,Campo Grande,1981,,,43º 31' 15''W,22º 54' 23'' S,3304557,-43.227875,-22.876652,1200.179,-43.520833,-22.906389,1,coordinates,Cited in ref,Lima et al. 1981,1981,,
5256,L. migonei,,L_migonei,Brazil,Rio de Janeiro,Rio de Janeiro,Campo Grande,1981,,,43º 31' 15''W,22º 54' 23'' S,3304557,-43.227875,-22.876652,1200.179,-43.520833,-22.906389,1,coordinates,Cited in ref,Lima et al. 1981,1981,,
5257,L. whitmani,,L_whitmani,Brazil,Rio de Janeiro,Rio de Janeiro,Campo Grande,1981,,,43º 31' 15''W,22º 54' 23'' S,3304557,-43.227875,-22.876652,1200.179,-43.520833,-22.906389,1,coordinates,Cited in ref,Lima et al. 1981,1981,,
323,L. flaviscutellata,,L_flaviscutellata,Brazil,Acre,Cruzeiro do Sul,,1981,,,,,1200203,-72.672531,-7.63069,8779.402,-72.685928,-7.645793,2,,Google Earth,Arias & Freitas 1982,1982,Mapas do estado com áreas de coleta,
337,L. flaviscutellata,,L_flaviscutellata,Brazil,Acre,Rio Branco,,1981,,,,,1200401,-67.810529,-9.978299,8835.52,-67.772621,-9.959261,2,,Google Earth,Arias & Freitas 1982,1982,Mapas do estado com áreas de coleta,
3691,L. flaviscutellata,,L_flaviscutellata,Brazil,Pará,Almeirim,"Plantações de invasoras próximas a Monte Dourado, ao longo do Rio Jari. ""Sites 3, 4, 5, 6 e 7"" com a espécie. Descrição detalhada de cada um no artigo.",1981,1982,,52°40'W,0°47'S,1500503,-52.576835,-1.527339,72954.798,-52.651438,-0.780765,1,coordinates,Cited in ref/Google Earth,Ready et al. 1983,1983,mapa com PONTOS DE COLETA,
3692,L. flaviscutellata,,L_flaviscutellata,Brazil,Pará,Almeirim,"Plantações de invasoras próximas a Monte Dourado, ao longo do Rio Jari. ""Sites 3, 4, 5, 6 e 7"" com a espécie. Descrição detalhada de cada um no artigo.",1981,1982,,52°40'W,0°47'S,1500503,-52.576835,-1.527339,72954.798,-52.651438,-0.780765,2,,,Ready et al. 1983,1983,,
3693,L. umbratilis,,L_umbratilis,Brazil,Pará,Almeirim,"Plantações de invasoras próximas a Monte Dourado, ao longo do Rio Jari. ""Sites 3, 4, 5, 6 e 7"" com a espécie. Descrição detalhada de cada um no artigo.",1981,1982,,52°40'W,0°47'S,1500503,-52.576835,-1.527339,72954.798,-52.651438,-0.780765,2,,,Ready et al. 1983,1983,,
3695,L. whitmani,,L_whitmani,Brazil,Pará,Almeirim,"Plantações de invasoras próximas a Monte Dourado, ao longo do Rio Jari. ""Sites 3, 4, 5, 6 e 7"" com a espécie. Descrição detalhada de cada um no artigo.",1981,1982,,52°40'W,0°47'S,1500503,-52.576835,-1.527339,72954.798,-52.651438,-0.780765,2,,,Ready et al. 1983,1983,,
3762,L. flaviscutellata,,L_flaviscutellata,Brazil,Pará,Belém,"""Catu Forest"", área do Instituto de Pesquisas Agropecuárias do Norte",1981,1982,,,,1501402,-48.487826,-1.459845,1059.458,-48.38609,-1.440542,2,,Google Earth,Hervé et al. 1984,1984,,
3763,L. flaviscutellata,F,L_flaviscutellata,Brazil,Pará,Belém,"""Catu Forest"", área do Instituto de Pesquisas Agropecuárias do Norte",1981,1982,,,,1501402,-48.487826,-1.459845,1059.458,-48.38609,-1.440542,2,,Google Earth,Hervé et al. 1984,1984,,
