unique.id,cited.species,gender,considered.species,country,admin2,admin3,locality,col.start.year,col.finish.year,1.year.monthly?,lon_orig,lat_orig,mun_geocod,mun_lon,mun_lat,area.mun.km,lon_dec,lat_dec,coord.prec,loc_type_wieczorek,fonte das coordenadas,ref,obs,n
1,L. neivai,,L_neivai,Argentina,Catamarca,Ali Jilan,Sites 11-14,2003,,,65º 29’-30’ W,28º 08’-10’ S,,,,,-65.491667,-28.15,2,,,Salomón et al. 2006b,Precise coordinates given in table,
2,L. neivai,,L_neivai,Argentina,Catamarca,Bañado de Ovanta,Sites 15-17,2003,,,65º 18’-19’ W,29º 03’-05’ S,,,,,-65.31772,-28.10776,3,,,Salomón et al. 2006b,Precise coordinates given in table,
3,L. migonei,,L_migonei,Argentina,Catamarca,Tapso,,NA (before 1978),NA (before 1978),0,,,,,,,-65.09603,-28.402567,2,,Google Earth,Martins et al. 1978,,
4,L. longipalpis,,L_longipalpis,Argentina,Chaco,Barrio de Pescadores,,2010,,1,,,,,,,-58.86643,-27.45946,2,,Google Earth,Szelag et al. 2014,,
5,L. migonei,,L_migonei,Argentina,Chaco,Margarita Belén,,2001,,1,58º50’W,27º10’S,,,,,-58.84166,-27.175,2,,,Rosa et al. 2010,,
6,L. migonei,,L_migonei,Argentina,Chaco,Margarita Belén,,2010,,1,,,,,,,-58.84166,-27.175,2,,,Szelag et al. 2014,,
7,L. neivai,,L_neivai,Argentina,Chaco,Margarita Belén,,2001,,,58º50’W,27º10’S,,,,,-58.84166,-27.175,2,,,Rosa et al. 2010,,
8,L. neivai,,L_neivai,Argentina,Chaco,Margarita Belén,,2010,,,,,,,,,-58.84166,-27.175,2,,,Szelag et al. 2014,,
9,L. migonei,,L_migonei,Argentina,Chaco,Misión Nueva Pompeya,Arenales,2007,2007,0,,,,,,,-61.35833,-24.975,2,,Rosa et al. 2012,Collection data: CPqRR (speciesLink),,
10,L. migonei,,L_migonei,Argentina,Chaco,Misión Nueva Pompeya,Fortín Arenales,2006,,1,61◦21_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x0004_W,24◦58_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x0004_S,,,,,-61.35833,-24.975,2,,,Rosa et al. 2012,,
11,L. neivai,,L_neivai,Argentina,Chaco,Misión Nueva Pompeya,Fortín Arenales,2006,,,61◦21_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x0004_W,24◦58_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x0004_S,,,,,-61.35833,-24.975,2,,,Rosa et al. 2012,,
12,L. migonei,,L_migonei,Argentina,Chaco,Misión Nueva Pompeya,Los Pozos,2007,2007,0,,,,,,,-61.375,-24.90833,2,,Rosa et al. 2012,Collection data: CPqRR (speciesLink),,
13,L. migonei,,L_migonei,Argentina,Chaco,Misión Nueva Pompeya,Los Pozos,2006,,1,61◦22_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x0004_W,24◦54_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x0004_S,,,,,-61.375,-24.90833,2,,,Rosa et al. 2012,,
14,L. neivai,,L_neivai,Argentina,Chaco,Misión Nueva Pompeya,Los Pozos,2006,,,61◦22_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x0004_W,24◦54_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x005F_x0004_S,,,,,-61.375,-24.90833,2,,,Rosa et al. 2012,,
15,L. migonei,,L_migonei,Argentina,Chaco,Misión Nueva Pompeya,,2001,,1,61º30’W,24º55’S,,,,,-61.5083,-24.925,2,,,Rosa et al. 2010,,
16,L. neivai,,L_neivai,Argentina,Chaco,Misión Nueva Pompeya,,2001,,,61º30’W,24º55’S,,,,,-61.5083,-24.925,2,,,Rosa et al. 2010,,
17,L. migonei,,L_migonei,Argentina,Chaco,Monte Alto,,2003,,0,58º54’51”,27º26’42”,,,,,-58.914167,-27.445,1,coordinates,Cited in ref,Salomón et al. 2008b,Precise coordinates given in table,
18,L. neivai,,L_neivai,Argentina,Chaco,Monte Alto,,2003,,,58º54’51”,27º26’42”,,,,,-58.914167,-27.445,1,coordinates,Cited in ref,Salomón et al. 2008b,Precise coordinates given in table,
19,L. migonei,,L_migonei,Argentina,Chaco,Nueva Pompeya,,2007,,0,61º30’01”,24º55’57”,,,,,-61.500278,-24.9325,1,coordinates,Cited in ref,Salomón et al. 2008b,Precise coordinates given in table,
20,L. neivai,,L_neivai,Argentina,Chaco,Nueva Pompeya,,2007,,,61º30’01”,24º55’57”,,,,,-61.500278,-24.9325,1,coordinates,Cited in ref,Salomón et al. 2008b,Precise coordinates given in table,
21,L. migonei,,L_migonei,Argentina,Chaco,Resistencia,Monte Alto,2002,2002,0,,,,,,,-58.90833,-27.44166,3,,,Collection data: CPqRR (speciesLink),,
22,L. neivai,,L_neivai,Argentina,Chaco,Resistencia,Monte Alto,2002,2002,0,,,,,,,-58.90833,-27.44166,3,,,Collection data: CPqRR,,
