"cv_0","pa","lon","lat","prec_01_SA","prec_02_SA","prec_03_SA","prec_04_SA"
3,1,-58.86643,-27.45946,165,157,171,181
4,1,-55.886828,-27.42923,152,157,146,163
1,1,-63.655278,-22.470556,211,200,196,107
1,1,-67.55629,-16.37418,188,186,134,61
1,1,-59.7544,-18.33299,162,143,130,84
2,1,-36.7666,-9.61666,22,28,50,87
4,1,-35.70163,-9.660822,67,89,161,265
5,1,-51.266128,0.924183,265,293,334,344
4,1,-42.059128,-11.808828,115,80,95,49
3,1,-45.004168,-12.144925,174,150,157,80
2,1,-38.32574,-12.698817,71,95,151,265
3,1,-39.043184,-14.79332,137,165,198,188
1,1,-40.963419,-12.982034,96,95,104,83
5,1,-40.513018,-11.185062,93,82,104,70
3,1,-40.088607,-13.855664,85,76,86,71
2,1,-39.25319,-12.428893,64,61,65,89
2,1,-40.847528,-2.900967,107,183,302,295
3,1,-40.6684,-5.176951,87,137,238,202
2,1,-38.523962,-3.845731,103,197,310,303
4,1,-39.299906,-6.360555,125,161,248,188
4,1,-39.583533,-3.685673,70,131,222,216
2,1,-38.772795,-7.387398,128,177,204,168
4,1,-40.74528,-3.90603,115,193,295,283
1,1,-39.011745,-4.9637,71,122,211,201
2,1,-37.975431,-4.939738,63,123,229,206
4,1,-40.292625,-6.002999,63,88,159,135
3,1,-47.858373,-15.73812,239,198,206,121
5,1,-40.976456,-18.545546,171,93,110,72
4,1,-40.065306,-19.398106,156,87,112,83
3,1,-50.634742,-15.08853,256,241,219,107
2,1,-47.463436,-13.799279,273,258,205,118
2,1,-48.156677,-18.261382,262,195,188,78
5,1,-50.141384,-15.935743,291,235,228,122
5,1,-49.536733,-16.831323,286,221,206,115
4,1,-49.22087,-18.417682,276,209,190,92
3,1,-48.688822,-13.353094,265,237,205,106
5,1,-48.458585,-14.46911,257,230,198,109
4,1,-48.962527,-15.853342,282,229,203,128
2,1,-50.929681,-17.794543,270,197,208,113
2,1,-50.163838,-13.276024,268,239,220,113
5,1,-46.25249,-14.803994,217,187,183,101
3,1,-43.01666,-2.83333,168,252,351,334
5,1,-46.2193,-4.3379,177,244,285,229
1,1,-43.358539,-4.861675,236,272,334,277
5,1,-43.477977,-3.720733,222,265,355,325
5,1,-44.44001,-5.038448,201,234,312,251
2,1,-44.380519,-3.480329,226,257,336,313
2,1,-44.102516,-2.415075,182,302,397,403
1,1,-56.09161,-9.871723,339,338,330,227
1,1,-53.22026,-17.31559,312,231,206,103
4,1,-59.448616,-10.172524,327,332,297,196
4,1,-55.967121,-16.195099,223,203,180,113
4,1,-57.186409,-15.066258,233,198,208,127
5,1,-57.498611,-16.402222,224,184,172,109
2,1,-52.797495,-14.539617,265,230,232,100
4,1,-52.273457,-13.55923,276,244,226,110
3,1,-55.78802,-14.86719,219,212,203,122
1,1,-59.790431,-13.66056,324,275,277,176
3,1,-53.261519,-13.188043,272,275,238,125
3,1,-52.75931,-15.707042,289,245,216,93
3,1,-56.649344,-12.234769,321,359,427,145
5,1,-58.762217,-11.422018,316,318,302,190
5,1,-58.097904,-15.674071,254,205,198,119
2,1,-56.110005,-13.832726,295,311,273,144
4,1,-54.054092,-14.427698,326,257,252,125
5,1,-54.992297,-10.244842,338,360,312,213
2,1,-51.63088,-10.877548,300,263,258,139
5,1,-54.300053,-15.552294,308,258,228,113
3,1,-54.633587,-16.470163,275,235,198,110
2,1,-55.500922,-11.858005,316,311,267,164
5,1,-54.374844,-11.535511,331,303,265,158
5,1,-52.875118,-20.448851,223,171,141,94
4,1,-53.70809,-18.325034,278,209,176,102
1,1,-55.787222,-20.471111,226,185,145,111
4,1,-52.425437,-21.715288,166,166,106,85
3,1,-56.521111,-22.108889,151,113,129,118
5,1,-56.481944,-21.121111,182,143,132,108
2,1,-54.043309,-19.53526,250,190,151,100
2,1,-54.38327,-20.74998,220,175,138,100
3,1,-57.640278,-19.028056,181,126,124,77
3,1,-57.14373333,-20.14521944,188,147,127,87
4,1,-51.927679,-19.725458,266,175,166,92
2,1,-55.15714,-21.62361,172,147,141,110
2,1,-53.01306849,-19.01739138,274,194,172,100
5,1,-55.43303,-23.89687,148,166,140,136
2,1,-57.888482,-21.707325,134,118,115,91
1,1,-54.842254,-18.916586,250,203,158,108
1,1,-54.892772,-19.96186,238,187,143,101
2,1,-51.7,-20.788333,202,152,137,81
3,1,-42.1545,-16.87943,144,84,100,41
3,1,-46.107752,-15.921772,220,142,166,79
1,1,-41.692449,-19.93078,199,113,130,76
3,1,-44.456226,-18.363516,229,116,119,48
3,1,-41.9667,-18.8604,197,104,129,68
5,1,-44.59876,-20.102362,286,175,170,72
5,1,-43.747334,-19.522289,257,164,158,64
3,1,-41.007115,-16.441769,122,74,91,52
4,1,-44.999931,-21.24287,282,210,181,69
1,1,-43.936762,-14.755922,136,95,95,45
5,1,-43.41614,-20.374493,262,176,163,72
5,1,-42.866515,-15.397322,154,107,91,39
1,1,-43.8595,-16.7387,196,126,127,55
4,1,-45.660498,-20.371622,279,173,136,79
1,1,-46.875419,-17.219742,272,181,177,77
2,1,-42.64005,-19.56869,207,134,144,73
5,1,-44.809807,-17.200544,198,117,113,45
1,1,-44.027948,-15.708871,168,98,113,45
5,1,-55.48677,-3.843374,238,257,312,274
4,1,-48.668848,-0.89225,361,464,510,467
1,1,-49.848958,-6.532197,249,264,285,221
3,1,-49.260917,-8.257972,262,274,277,197
3,1,-50.546361,-5.778389,261,287,310,235
3,1,-48.767199,-1.885889,342,414,425,384
5,1,-54.073375,-2.003328,151,214,280,284
4,1,-48.55977,-6.16476,225,249,287,179
2,1,-48.951282,-2.93708,329,387,422,378
5,1,-47.622722,-3.733056,250,301,354,278
1,1,-35.633892,-7.036775,56,72,127,148
4,1,-37.276913,-7.024492,74,139,205,173
