"cv_0","pa","lon","lat","bio10_SA","bio13_SA","bio15_SA","bio2_SA","bio3_SA"
6,1,-65.31772,-28.10776,25.7726669311523,138,79.9674956973131,14.9893335103989,50.7013045812545
3,1,-58.90833,-27.44166,26.2726669311523,182,43.6025356896196,10.5096664428711,46.9265336927738
1,1,-59.0325,-28.486944,26.0380001068115,132,37.2563985254442,10.222333351771,45.7170550479789
9,1,-57.3384,-27.42803,26.3359994888306,170,28.1291084637987,10.6953330834707,49.5062650910704
3,1,-58.243306,-25.140556,27.2206672032674,151,43.0647535745433,11.5356669425964,51.2423014374209
9,1,-60.6083,-24.675,27.565333366394,147,62.4173245661839,12.8493336836497,52.2755643756419
10,1,-55.803056,-27.461667,26.1239999135335,193,16.3610528614504,11.4226665496826,51.8552120866742
8,1,-54.7764,-26.5705,25.4259999593099,168,19.1598736859809,11.7966667016347,52.0043497341716
7,1,-64.3093,-23.1574,27.1526664098104,208,86.2484034568373,12.1640002727509,50.008222715962
5,1,-63.655278,-22.470556,27.3019997278849,217,84.5186936219092,12.3786663214366,52.4430849571566
8,1,-64.24975,-27.750278,26.4660002390544,133,87.1784080050619,12.8633329868317,46.0721078520902
10,1,-64.248056,-26.198333,26.0020001729329,149,94.5997486829072,12.782666961352,49.6529911246566
7,1,-65.61102,-27.22253,25.684666633606,142,49.3878494086763,12.3120000759761,47.0930251680682
7,1,-64.64167,-22.19177,22.7213335037231,157,87.8309632798057,13.2226664622625,60.344407821354
8,1,-40.758611,-19.228889,25.4466667175293,189,61.4007783781297,10.6900002161662,64.6155694627931
3,1,-48.556102,-18.136906,24.0619999567668,286,83.4962384784394,12.2060002485911,66.264930499647
8,1,-50.598443,-17.812355,24.3986666997274,291,78.03950916108,12.3616669178009,68.9209801917441
1,1,-56.095222,-20.762333,26.7673333485921,201,47.4486067862103,11.5006666183472,61.9915221063332
5,1,-54.19055,-23.065,24.9366664886475,198,35.0629195875079,11.8090000947316,61.2754280169518
7,1,-54.84416,-18.91805,25.6980002721151,249,63.0317814527879,12.6803335348765,67.940065556765
4,1,-45.948918,-21.428178,22.4620002110799,284,73.462363213263,13.0849996407827,60.7361644114879
8,1,-46.107752,-15.921772,24.9706665674845,251,88.4147422931161,13.2346665064494,67.4274828385107
10,1,-45.979045,-20.011892,23.0979998906453,286,81.713857932629,13.5859999656677,57.9014641973016
